Date,Close
2021/7/19,"4,258.49"
2021/7/16,"4,327.16"
2021/7/15,"4,360.03"
2021/7/14,"4,374.30"
2021/7/13,"4,369.21"
2021/7/12,"4,384.63"
2021/7/9,"4,369.55"
2021/7/8,"4,320.82"
2021/7/7,"4,358.13"
2021/7/6,"4,343.54"
2021/7/2,"4,352.34"
2021/7/1,"4,319.94"
2021/6/30,"4,297.50"
2021/6/29,"4,291.80"
2021/6/28,"4,290.61"
2021/6/25,"4,280.70"
2021/6/24,"4,266.49"
2021/6/23,"4,241.84"
2021/6/22,"4,246.44"
2021/6/21,"4,224.79"
2021/6/18,"4,166.45"
2021/6/17,"4,221.86"
2021/6/16,"4,223.70"
2021/6/15,"4,246.59"
2021/6/14,"4,255.15"
2021/6/11,"4,247.44"
2021/6/10,"4,239.18"
2021/6/9,"4,219.55"
2021/6/8,"4,227.26"
2021/6/7,"4,226.52"
2021/6/4,"4,229.89"
2021/6/3,"4,192.85"
2021/6/2,"4,208.12"
2021/6/1,"4,202.04"
2021/5/28,"4,204.11"
2021/5/27,"4,200.88"
2021/5/26,"4,195.99"
2021/5/25,"4,188.13"
2021/5/24,"4,197.05"
2021/5/21,"4,155.86"
2021/5/20,"4,159.12"
2021/5/19,"4,115.68"
2021/5/18,"4,127.83"
2021/5/17,"4,163.29"
2021/5/14,"4,173.85"
2021/5/13,"4,112.50"
2021/5/12,"4,063.04"
2021/5/11,"4,152.10"
2021/5/10,"4,188.43"
2021/5/7,"4,232.60"
2021/5/6,"4,201.62"
2021/5/5,"4,167.59"
2021/5/4,"4,164.66"
2021/5/3,"4,192.66"
2021/4/30,"4,181.17"
2021/4/29,"4,211.47"
2021/4/28,"4,183.18"
2021/4/27,"4,186.72"
2021/4/26,"4,187.62"
2021/4/23,"4,180.17"
2021/4/22,"4,134.98"
2021/4/21,"4,173.42"
2021/4/20,"4,134.94"
2021/4/19,"4,163.26"
2021/4/16,"4,185.47"
2021/4/15,"4,170.42"
2021/4/14,"4,124.66"
2021/4/13,"4,141.59"
2021/4/12,"4,127.99"
2021/4/9,"4,128.80"
2021/4/8,"4,097.17"
2021/4/7,"4,079.95"
2021/4/6,"4,073.94"
2021/4/5,"4,077.91"
2021/4/1,"4,019.87"
2021/3/31,"3,972.89"
2021/3/30,"3,958.55"
2021/3/29,"3,971.09"
2021/3/26,"3,974.54"
2021/3/25,"3,909.52"
2021/3/24,"3,889.14"
2021/3/23,"3,910.52"
2021/3/22,"3,940.59"
2021/3/19,"3,913.10"
2021/3/18,"3,915.46"
2021/3/17,"3,974.12"
2021/3/16,"3,962.71"
2021/3/15,"3,968.94"
2021/3/12,"3,943.34"
2021/3/11,"3,939.34"
2021/3/10,"3,898.81"
2021/3/9,"3,875.44"
2021/3/8,"3,821.35"
2021/3/5,"3,841.94"
2021/3/4,"3,768.47"
2021/3/3,"3,819.72"
2021/3/2,"3,870.29"
2021/3/1,"3,901.82"
2021/2/26,"3,811.15"
2021/2/25,"3,829.34"
2021/2/24,"3,925.43"
2021/2/23,"3,881.37"
2021/2/22,"3,876.50"
2021/2/19,"3,906.71"
2021/2/18,"3,913.97"
2021/2/17,"3,931.33"
2021/2/16,"3,932.59"
2021/2/12,"3,934.83"
2021/2/11,"3,916.38"
2021/2/10,"3,909.88"
2021/2/9,"3,911.23"
2021/2/8,"3,915.59"
2021/2/5,"3,886.83"
2021/2/4,"3,871.74"
2021/2/3,"3,830.17"
2021/2/2,"3,826.31"
2021/2/1,"3,773.86"
2021/1/29,"3,714.24"
2021/1/28,"3,787.38"
2021/1/27,"3,750.77"
2021/1/26,"3,849.62"
2021/1/25,"3,855.36"
2021/1/22,"3,841.47"
2021/1/21,"3,853.07"
2021/1/20,"3,851.85"
2021/1/19,"3,798.91"
2021/1/15,"3,768.25"
2021/1/14,"3,795.54"
2021/1/13,"3,809.84"
2021/1/12,"3,801.19"
2021/1/11,"3,799.61"
2021/1/8,"3,824.68"
2021/1/7,"3,803.79"
2021/1/6,"3,748.14"
2021/1/5,"3,726.86"
2021/1/4,"3,700.65"
